anchor_index,path_index,step,e0_eV_A,kappa_eV_A2,horizon_fs
0,3,0,0.03584153430340759,1.9503827156755582,0.0
1,3,1,0.03198629994094453,2.170327271000773,0.0
2,3,2,0.06066781306173764,2.170327271000773,0.0
3,3,3,0.0780462392002175,2.170327271000773,0.0
4,3,4,0.09839401304012578,2.114617126323336,0.0
5,3,5,0.11754304846320009,2.114617126323336,0.0
6,3,6,0.1341125341053383,2.114617126323336,0.0
7,3,7,0.14568493058401794,1.825475775614854,0.0
8,3,8,0.14766973979016665,2.163745825442404,0.0
9,3,9,0.16036003739767957,2.163745825442404,0.0
10,3,10,0.18832786339543717,3.0150056696763046,0.0
11,3,11,0.19959900328087665,3.0150056696763046,0.0
12,3,12,0.19666838388492372,3.0150056696763046,0.0
13,3,13,0.18825313633660637,1.8435398331962347,0.0
14,3,14,0.17418296133998182,1.2300364126189953,0.0
15,3,15,0.14583149480586616,2.1063797706267637,0.0
16,3,16,0.09906841221566433,3.0810063257394398,0.0
17,3,17,0.055866768056509884,3.0810063257394398,0.0
18,3,18,0.033227676843237415,3.0810063257394398,0.0
19,3,19,0.03772341442745779,2.5959804762252565,0.0
20,3,20,0.03450367028201282,1.7292869557619388,0.5
21,3,21,0.03811154671959955,1.7292869557619388,0.5
22,3,22,0.042276715692121096,1.4640921975999797,0.5
23,3,23,0.05246835446787236,1.7943091106153337,0.0
24,3,24,0.08163285051883228,2.7499046254067325,0.0
25,3,25,0.11842127691423063,2.7499046254067325,0.0
26,3,26,0.12417632600804335,2.7499046254067325,0.0
27,3,27,0.13440869605209624,2.402432617956866,0.0
28,3,28,0.1567986402771668,1.9472789205128382,0.0
29,3,29,0.18091512006930163,2.6712681084186776,0.0
30,3,30,0.19678134892045832,2.6712681084186776,0.0
31,3,31,0.20001716408521727,2.6712681084186776,0.0
32,3,32,0.1906336098110851,2.002661837674277,0.0
33,3,33,0.17347647225146648,2.3727281111042804,0.0
34,3,34,0.15704700014518788,2.3727281111042804,0.0
35,3,35,0.1463480393897852,2.3727281111042804,0.0
36,3,36,0.1264134497560574,1.9201356136030543,0.0
37,3,37,0.07986850650296039,2.9260208821550724,0.0
38,3,38,0.04954813635466399,2.9260208821550724,0.0
39,3,39,0.038232300596846555,2.9260208821550724,0.0
40,7,0,0.05907992526105117,1.9503827156755582,0.0
41,7,1,0.1118811170914198,2.880130830089238,0.0
42,7,2,0.12369722021636657,2.880130830089238,0.0
43,7,3,0.12133127740955052,2.880130830089238,0.0
44,7,4,0.12461478847149876,1.3897766203065787,0.0
45,7,5,0.1353471959374187,1.3897766203065787,0.0
46,7,6,0.15379542141736507,1.8034371931633073,0.0
47,7,7,0.1683195942273095,1.9438014201652496,0.0
48,7,8,0.14364954065775237,1.9438014201652496,0.0
49,7,9,0.10527458880570952,2.308074950468101,0.0
50,7,10,0.10910903343598363,2.308074950468101,0.0
51,7,11,0.0985255963431833,2.308074950468101,0.0
52,7,12,0.1026894588451445,1.9504132973221886,0.0
53,7,13,0.10693681670274408,1.5162483634394257,0.0
54,7,14,0.08736513339709104,1.908927708589771,0.0
55,7,15,0.05430655633595982,1.9503034223155404,0.0
56,7,16,0.018634407821935844,1.9503034223155404,0.5
57,7,17,0.035526614280733074,1.9503034223155404,0.0
58,7,18,0.05922374617925061,2.199568242579179,0.0
59,7,19,0.07909379627424876,2.199568242579179,0.0
60,7,20,0.10353528416651657,2.88614885667947,0.0
61,7,21,0.13234594623698062,2.88614885667947,0.0
62,7,22,0.14937466794108895,2.88614885667947,0.0
63,7,23,0.15676127328588046,2.057982985509905,0.0
64,7,24,0.15124426790929302,1.1335061614156923,0.0
65,7,25,0.1291856150570365,1.982428976012961,0.0
66,7,26,0.10668855499402596,1.982428976012961,0.0
67,7,27,0.10656508348360477,1.982428976012961,0.0
68,7,28,0.11249813405348988,1.8085748466067648,0.0
69,7,29,0.07020183538569146,2.416151218831411,0.0
70,7,30,0.0505325161477257,2.416151218831411,0.0
71,7,31,0.033195410062594306,2.416151218831411,0.0
72,7,32,0.03130095724942188,1.65508926242458,0.5
73,7,33,0.04023272726421643,1.598430943352638,0.5
74,7,34,0.0455711609268046,0.6543944339198765,1.0
75,7,35,0.06877607829481033,1.221941357129136,0.0
76,7,36,0.07106133992136807,1.576324788640561,0.0
77,7,37,0.0680245907349133,2.163104490917202,0.0
78,7,38,0.06626234343176265,2.163104490917202,0.0
79,7,39,0.07237091772320228,2.163104490917202,0.0
