anchor_index,elapsed_fs,path_length_A,bound_eV_A
0,0.5,0.03667737479880219,0.10737645216734568
1,0.5,0.0351310131493346,0.10823209583683216
2,0.5,0.03271549299384352,0.13167113969051095
3,0.5,0.03012036164330944,0.14341728148709762
4,0.5,0.02810336269072997,0.15782186509321966
16,0.5,0.03328457716108008,0.20161840499851455
17,0.5,0.03512927431704144,0.1641002844459506
18,0.5,0.03587078461583622,0.1437457911538658
19,0.5,0.03573046236089956,0.13047899712285443
20,0.5,0.03517469795063661,0.09533081662091492
20,1.0,0.06989908384823351,0.15537924420047305
21,0.5,0.03464394354356141,0.09802086638563333
21,1.0,0.06891890060746847,0.15729210254554835
22,0.5,0.03422975150567914,0.09239222779737208
22,1.0,0.06784877885539578,0.14161358343099253
23,0.5,0.0336210886393487,0.11279498012226143
24,0.5,0.03237565953437751,0.17066282642301056
37,0.5,0.03334404241288702,0.17743387089853221
38,0.5,0.03438429154775759,0.15015729144151085
39,0.5,0.03528734969093479,0.1414838226684301
40,0.5,0.0374376223358037,0.13209761678079193
51,0.5,0.03291675171649738,0.17449992643080878
54,0.5,0.03661787156717086,0.15726600306124505
55,0.5,0.03923216860044722,0.1308211890222723
56,0.5,0.040602935560865416,0.09782245200234903
56,1.0,0.08096015318609187,0.17653127165196122
57,0.5,0.04036105244264294,0.1142429129878766
58,0.5,0.03874858704711516,0.14445390769290006
59,0.5,0.03633591337375693,0.15901711739627258
69,0.5,0.033416981766473654,0.15094231661042382
70,0.5,0.031841632381282015,0.12746671503534196
71,0.5,0.03193324060691097,0.11035094827621894
72,0.5,0.0341491319386569,0.08782081884221321
72,1.0,0.07143904080630181,0.14953894660584344
73,0.5,0.03734688242552589,0.09992913977092983
73,1.0,0.07725256081510701,0.16371561092431497
74,0.5,0.03997668711185103,0.07173168245935638
74,1.0,0.08100272419708354,0.09857889277372298
74,1.5,0.12150587325218615,0.12508392807160923
75,0.5,0.04113217923828485,0.11903718921491899
76,0.5,0.04066532953492959,0.1351631069055147
77,0.5,0.03892971318993129,0.1522336281661723
78,0.5,0.03653795623822832,0.14529776065961053
79,0.5,0.034200881525922475,0.14635099814525238
