path_index,primary_step_fs,half_step_fs,primary_states,half_step_states,maximum_primary_drift_eV,maximum_half_step_drift_at_primary_times_eV,half_to_primary_drift_ratio
0,0.125,0.0625,33,65,0.002632555377203971,0.0006567039526998997,0.24945494343119304
1,0.125,0.0625,33,65,0.0026605651946738362,0.0006636380567215383,0.24943499150108026
2,0.125,0.0625,33,65,0.005806611035950482,0.0014500210236292332,0.249718986626057
3,0.125,0.0625,33,65,0.005084536329377443,0.0012695288169197738,0.24968428479597796
