split,seed,amplitude,stiffness,phase,x0,v0,random_check_seed,policy,drift_coefficient,fixed_k,n_steps,physical_duration,n_reference,n_initial_reference,n_forced_reference,n_random_reference,n_unreferenced,n_start_violations,n_interval_violations,n_envelope_counterexamples,n_eligible,n_eligible_start_violations,n_random_start_violations,n_full_corrections,n_measurement_force_calls,reference_fraction,unreferenced_physical_duration,interval_violation_rate,start_violation_rate,maximum_unreferenced_streak,maximum_unreferenced_streak_time,maximum_unreferenced_force_error,maximum_positive_envelope_excess,initial_error_min,initial_error_mean,initial_error_max,margin_min,margin_mean,margin_max,trust_time_min,trust_time_median,trust_time_max,squared_position_error_sum,squared_velocity_error_sum,position_rmse,velocity_rmse,final_relative_energy_change,maximum_absolute_relative_energy_change
heldout,2026090601,0.9,1.18,5.672472927536393,0.7373157397053708,0.5606347206333301,2036090601,empirical_horizon,0.10000000000000009,,2000,20.0,88,1,40,47,1912,261,292,1111,1959,268,7,0,6007,0.044,19.12,0.15271966527196654,0.1365062761506276,44,0.44,0.08493015303990588,0.03559405306840838,0.0004887327932947549,0.007846305494106132,0.026543366629393272,0.02345663337060673,0.04215369450589387,0.04951126720670525,0.2315994041472657,0.3404637459935779,0.45496119863850415,42.733391424467214,57.010828165835626,0.14617351234828288,0.1688354645295763,1.0079379963085044,1.0079379963085044
heldout,2026090601,0.9,1.18,5.672472927536393,0.7373157397053708,0.5606347206333301,2036090601,fixed_streak,0.2,18,2000,20.0,130,1,84,45,1870,0,1,0,1915,0,0,0,6007,0.065,18.7,0.0005347593582887701,0.0,18,0.18,0.05045061338691499,0.0,0.00011770550295864268,0.005026446581160159,0.026543366629393272,0.02345663337060673,0.044973553418839844,0.04988229449704136,0.11579970207363295,0.19747615773541963,0.2344703837583739,14.67069235660345,19.836129815233843,0.08564663553404608,0.09958948191258413,0.5672931176820674,0.5672931176820674
heldout,2026090602,1.25,1.18,6.121452588248849,1.2336871848224145,0.21865222936397355,2036090602,class_horizon,0.2,,2000,20.0,165,1,124,40,1835,0,0,0,1875,0,0,0,6007,0.0825,18.35,0.0,0.0,15,0.15,0.04563782959135787,0.0,3.7169697971739524e-05,0.005480873590599721,0.04441273865360684,0.00558726134639316,0.044519126409400284,0.04996283030202826,0.01956084135687075,0.1443220619687347,0.16910594459553346,16.675588990993713,21.888174719644702,0.09131152443967222,0.1046139921799295,0.40757186042564414,0.40757186042564414
heldout,2026090602,1.25,1.18,6.121452588248849,1.2336871848224145,0.21865222936397355,2036090602,empirical_horizon,0.10000000000000009,,2000,20.0,101,1,55,45,1899,268,313,1124,1944,282,14,0,6007,0.0505,18.990000000000002,0.16482359136387573,0.14112690889942076,30,0.3,0.08189772172522924,0.032117193980659244,0.0005026391384861384,0.009315872258668912,0.04441273865360684,0.00558726134639316,0.04068412774133109,0.049497360861513864,0.03912168271374146,0.24742032323553229,0.328995631038324,48.177665906678946,63.85809930598247,0.15520577615971473,0.17868701590488112,0.7332243084377553,0.7332243084377553
heldout,2026090602,1.25,1.18,6.121452588248849,1.2336871848224145,0.21865222936397355,2036090602,fixed_streak,0.2,18,2000,20.0,131,1,87,43,1869,94,135,0,1912,96,2,0,6007,0.0655,18.69,0.07223113964686999,0.05029427501337614,18,0.18,0.06806786884332,0.0,0.00016731381424706093,0.006985207407606933,0.04441273865360684,0.00558726134639316,0.04301479259239307,0.04983268618575294,0.01956084135687075,0.13780676425621358,0.16842374208175104,29.01317802618005,38.882711962270115,0.12044330206819318,0.13943226305677986,0.5666912402899787,0.5666912402899787
heldout,2026090603,1.55,1.18,3.674855390234998,-1.3347872411440944,0.855917498732878,2036090603,class_horizon,0.2,,2000,20.0,205,1,150,54,1795,0,0,0,1849,0,0,0,6007,0.1025,17.95,0.0,0.0,12,0.12,0.04564203142287082,0.0,3.2424112211826284e-05,0.005329777703028159,0.048052340681187466,0.0019476593188125363,0.044670222296971845,0.049967575887788176,0.005563094121951486,0.11822212651776695,0.13765922084583937,19.49805700149143,21.591211626324046,0.09873716879040899,0.10390190476195335,0.3226046021333138,0.3226046021333138
heldout,2026090603,1.55,1.18,3.674855390234998,-1.3347872411440944,0.855917498732878,2036090603,empirical_horizon,0.10000000000000009,,2000,20.0,133,1,75,57,1867,295,347,1121,1924,303,8,0,6007,0.0665,18.67,0.18585966791644348,0.1580074986609534,25,0.25,0.08385756897873364,0.03455981086750683,0.00011327782256609353,0.008566070333423603,0.048052340681187466,0.0019476593188125363,0.0414339296665764,0.04988672217743391,0.011126188243902962,0.21027310211912856,0.2745828339836775,56.81463381337438,63.402927819998006,0.16854470299207622,0.17804904916903938,0.5813870960856518,0.5813870960856518
heldout,2026090603,1.55,1.18,3.674855390234998,-1.3347872411440944,0.855917498732878,2036090603,fixed_streak,0.2,18,2000,20.0,138,1,83,54,1862,260,309,0,1916,263,3,0,6007,0.069,18.62,0.16595059076262084,0.13963480128893663,18,0.18,0.08714943678222964,0.0,0.0002195931528015116,0.008094874200202388,0.048052340681187466,0.0019476593188125363,0.04190512579979762,0.04978040684719849,0.005563094121951486,0.10794655310276086,0.13811778727137905,48.08863383054704,54.331132055998225,0.15506230010958022,0.1648197986529504,0.5468341527579159,0.5468341527579159
heldout,2026090604,0.65,1.18,4.935282348006976,0.14368401824491536,0.6886136692102284,2036090604,class_horizon,0.2,,2000,20.0,96,1,60,35,1904,0,0,0,1939,0,0,0,6007,0.048,19.04,0.0,0.0,31,0.31,0.04499183355150396,0.0,1.4557567042161601e-05,0.004817819921714051,0.008998366710300791,0.04100163328969921,0.04518218007828595,0.04998544243295784,0.21880888779681434,0.26422439354286853,0.32448792153158956,15.73095339295449,17.52250399452529,0.08868752277788147,0.09360155980144051,0.7708071764613013,0.7708071764613013
heldout,2026090604,0.65,1.18,4.935282348006976,0.14368401824491536,0.6886136692102284,2036090604,empirical_horizon,0.10000000000000009,,2000,20.0,63,1,25,37,1937,222,245,1143,1974,229,7,0,6007,0.0315,19.37,0.12648425400103253,0.11461022199277233,60,0.6,0.08464078933764713,0.03545273007555816,9.009918884894663e-05,0.0074718307841997456,0.016928157867529436,0.033071842132470566,0.04252816921580026,0.049909900811151056,0.33221832150752906,0.47427365567161595,0.6498224324525274,40.567782860889416,43.668251155054556,0.14242152727184437,0.14776374919961688,1.3289451173879403,1.3289451173879403
heldout,2026090604,0.65,1.18,4.935282348006976,0.14368401824491536,0.6886136692102284,2036090604,fixed_streak,0.2,18,2000,20.0,121,1,84,36,1879,0,0,0,1915,0,0,0,6007,0.0605,18.79,0.0,0.0,18,0.18,0.03510929235059934,0.0,7.79389889346005e-05,0.003690145751011149,0.007021858470119879,0.04297814152988012,0.046309854248988855,0.0499220610110654,0.24229054128907432,0.2822324417007396,0.33388844144031093,8.851288336063108,9.917266402947043,0.06652551516547282,0.07041756316057465,0.5697224192039191,0.5697224192039191
heldout,2026090605,0.9,1.18,2.0499280988817423,-0.4149079990545089,-0.8675624448639352,2036090605,class_horizon,0.2,,2000,20.0,127,1,81,45,1873,0,0,0,1918,0,0,0,6007,0.0635,18.73,0.0,0.0,22,0.22,0.04503375528073199,0.0,0.00013906358735482627,0.004972740976048495,0.014936687965962314,0.03506331203403769,0.04502725902395151,0.049860936412645177,0.1692146580524926,0.1969003392318483,0.23724549431255926,15.3851735795788,18.75734452030709,0.08770739301672009,0.09684354526840468,0.5460232676130887,0.5460232676130887
heldout,2026090605,0.9,1.18,2.0499280988817423,-0.4149079990545089,-0.8675624448639352,2036090605,empirical_horizon,0.10000000000000009,,2000,20.0,82,1,35,46,1918,245,273,1135,1964,252,7,0,6007,0.041,19.18,0.14233576642335766,0.12773722627737227,43,0.43,0.08341317784107605,0.033446036629389914,0.0004278704688005508,0.007937745026658422,0.016682635568215254,0.03331736443178475,0.04206225497334158,0.04957212953119945,0.25608063662184694,0.3452841446049091,0.45949663569256166,42.63633567209437,50.75231198217393,0.14600742390730406,0.1592989516321026,0.9705589100308687,0.9705589100308687
heldout,2026090605,0.9,1.18,2.0499280988817423,-0.4149079990545089,-0.8675624448639352,2036090605,fixed_streak,0.2,18,2000,20.0,124,1,82,41,1876,0,1,0,1917,0,0,0,6007,0.062,18.76,0.0005330490405117271,0.0,18,0.18,0.051114060149175196,0.0,0.000147035455143385,0.005057805474932346,0.014936687965962314,0.03506331203403769,0.044942194525067654,0.04985296454485662,0.16333796385914578,0.19814082965152652,0.23149870917272908,15.449414117384046,18.785867991969745,0.08789031265555962,0.09691715016437943,0.5598194122406968,0.5598194122406968
