replicate,step,q_before,trust_before,cooldown_before,risk_probability,acceptance_probability,A,Y,Z,used_surrogate,detected_failure,N,V,D,log_M,capped_bound
2,13,0.26000000000000006,0.5740000000000001,3,0.26000000000000006,0.2240000000000001,0,0,0,0,0,7,3,1,-0.5392672973972936,7.0
3,13,0.4640000000000001,0.8240000000000001,0,0.4640000000000001,0.8240000000000001,1,0,0,1,0,12,3,0,0.1538798831626516,12.0
0,14,0.4780000000000001,0.8510000000000001,0,0.4780000000000001,0.8510000000000001,1,1,0,1,0,12,6,0,0.3077597663253032,12.0
1,14,0.4720000000000001,0.8510000000000001,0,0.4720000000000001,0.8510000000000001,1,0,0,1,0,11,6,0,0.3077597663253032,11.0
2,14,0.26400000000000007,0.5760000000000001,2,0.26400000000000007,0.2260000000000001,0,0,0,0,0,7,3,1,-0.5392672973972936,7.0
3,14,0.4740000000000001,0.8260000000000001,0,0.4740000000000001,0.8260000000000001,0,0,0,0,0,12,3,0,0.1538798831626516,12.0
0,15,0.4880000000000001,0.8530000000000001,0,0.4880000000000001,0.8530000000000001,1,1,0,1,0,13,7,0,0.35905306071285376,13.0
1,15,0.4820000000000001,0.8530000000000001,0,0.4820000000000001,0.8530000000000001,0,0,0,0,0,11,6,0,0.3077597663253032,11.0
2,15,0.26800000000000007,0.5780000000000001,1,0.26800000000000007,0.2280000000000001,1,1,0,1,0,8,4,1,-0.48797400300974314,8.0
3,15,0.4780000000000001,0.8280000000000001,0,0.4780000000000001,0.8280000000000001,0,1,0,0,0,12,3,0,0.1538798831626516,12.0
0,16,0.4980000000000001,0.8550000000000001,0,0.4980000000000001,0.8550000000000001,1,0,1,1,0,14,7,0,0.35905306071285376,14.0
1,16,0.4860000000000001,0.8550000000000001,0,0.4860000000000001,0.8550000000000001,1,0,0,1,0,12,6,0,0.3077597663253032,12.0
2,16,0.2780000000000001,0.5800000000000001,0,0.2780000000000001,0.5800000000000001,0,0,0,0,0,8,4,1,-0.48797400300974314,8.0
3,16,0.4820000000000001,0.8300000000000001,0,0.4820000000000001,0.8300000000000001,1,0,0,1,0,13,3,0,0.1538798831626516,13.0
0,17,0.5180000000000001,0.8820000000000001,0,0.5180000000000001,0.8820000000000001,0,0,0,0,0,14,7,0,0.35905306071285376,14.0
1,17,0.4960000000000001,0.8570000000000001,0,0.4960000000000001,0.8570000000000001,1,0,0,1,0,13,6,0,0.3077597663253032,13.0
2,17,0.2820000000000001,0.5820000000000001,0,0.2820000000000001,0.5820000000000001,0,0,0,0,0,8,4,1,-0.48797400300974314,8.0
3,17,0.4920000000000001,0.8320000000000001,0,0.4920000000000001,0.8320000000000001,1,1,0,1,0,14,4,0,0.20517317755020215,14.0
0,18,0.5220000000000001,0.8840000000000001,0,0.5220000000000001,0.8840000000000001,1,1,0,1,0,15,8,0,0.4103463551004043,15.0
1,18,0.5060000000000001,0.8590000000000001,0,0.5060000000000001,0.8590000000000001,0,1,0,0,0,13,6,0,0.3077597663253032,13.0
2,18,0.2860000000000001,0.5840000000000001,0,0.2860000000000001,0.5840000000000001,1,0,0,1,0,9,4,1,-0.48797400300974314,9.0
3,18,0.5020000000000001,0.8340000000000001,0,0.5020000000000001,0.8340000000000001,1,0,0,1,0,15,4,0,0.20517317755020215,15.0
0,19,0.5320000000000001,0.8860000000000001,0,0.5320000000000001,0.8860000000000001,1,1,0,1,0,16,9,0,0.46163964948795483,16.0
1,19,0.5100000000000001,0.8610000000000001,0,0.5100000000000001,0.8610000000000001,1,1,0,1,0,14,7,0,0.35905306071285376,14.0
2,19,0.2960000000000001,0.5860000000000001,0,0.2960000000000001,0.5860000000000001,1,0,0,1,0,10,4,1,-0.48797400300974314,10.0
3,19,0.5120000000000001,0.8360000000000001,0,0.5120000000000001,0.8360000000000001,1,1,0,1,0,16,5,0,0.2564664719377527,16.0
0,20,0.5420000000000001,0.8880000000000001,0,0.5420000000000001,0.8880000000000001,1,0,0,1,0,17,9,0,0.46163964948795483,17.0
1,20,0.5200000000000001,0.8630000000000001,0,0.5200000000000001,0.8630000000000001,1,1,0,1,0,15,8,0,0.4103463551004043,15.0
2,20,0.3060000000000001,0.5880000000000001,0,0.3060000000000001,0.5880000000000001,0,1,0,0,0,10,4,1,-0.48797400300974314,10.0
3,20,0.5220000000000001,0.8380000000000001,0,0.5220000000000001,0.8380000000000001,1,0,0,1,0,17,5,0,0.2564664719377527,17.0
0,21,0.5520000000000002,0.8900000000000001,0,0.5520000000000002,0.8900000000000001,1,1,1,1,1,18,10,1,-0.18021423668443992,18.0
1,21,0.5300000000000001,0.8650000000000001,0,0.5300000000000001,0.8650000000000001,1,1,0,1,0,16,9,0,0.46163964948795483,16.0
2,21,0.3100000000000001,0.5900000000000001,0,0.3100000000000001,0.5900000000000001,0,0,1,0,0,10,4,1,-0.48797400300974314,10.0
3,21,0.5320000000000001,0.8400000000000001,0,0.5320000000000001,0.8400000000000001,1,0,0,1,0,18,5,0,0.2564664719377527,18.0
0,22,0.36200000000000015,0.5920000000000001,8,0.36200000000000015,0.2420000000000001,1,1,0,1,0,19,11,1,-0.12892094229688944,19.0
1,22,0.5400000000000001,0.8670000000000001,0,0.5400000000000001,0.8670000000000001,0,0,0,0,0,16,9,0,0.46163964948795483,16.0
2,22,0.3140000000000001,0.5920000000000001,0,0.3140000000000001,0.5920000000000001,0,0,0,0,0,10,4,1,-0.48797400300974314,10.0
3,22,0.5420000000000001,0.8420000000000001,0,0.5420000000000001,0.8420000000000001,1,1,0,1,0,19,6,0,0.3077597663253032,19.0
0,23,0.37200000000000016,0.5940000000000001,7,0.37200000000000016,0.2440000000000001,0,1,0,0,0,19,11,1,-0.12892094229688944,19.0
1,23,0.5440000000000002,0.8690000000000001,0,0.5440000000000002,0.8690000000000001,1,0,0,1,0,17,9,0,0.46163964948795483,17.0
2,23,0.3180000000000001,0.5940000000000001,0,0.3180000000000001,0.5940000000000001,0,1,0,0,0,10,4,1,-0.48797400300974314,10.0
3,23,0.5520000000000002,0.8440000000000001,0,0.5520000000000002,0.8440000000000001,1,0,0,1,0,20,6,0,0.3077597663253032,20.0
0,24,0.37600000000000017,0.5960000000000001,6,0.37600000000000017,0.2460000000000001,0,1,1,0,0,19,11,1,-0.12892094229688944,19.0
1,24,0.5540000000000002,0.8710000000000001,0,0.5540000000000002,0.8710000000000001,1,1,0,1,0,18,10,0,0.5129329438755054,18.0
2,24,0.3220000000000001,0.5960000000000001,0,0.3220000000000001,0.5960000000000001,0,0,0,0,0,10,4,1,-0.48797400300974314,10.0
3,24,0.5620000000000002,0.8460000000000001,0,0.5620000000000002,0.8460000000000001,1,1,0,1,0,21,7,0,0.35905306071285376,21.0
0,25,0.38000000000000017,0.5980000000000001,5,0.38000000000000017,0.2480000000000001,0,1,0,0,0,19,11,1,-0.12892094229688944,19.0
1,25,0.5640000000000002,0.8730000000000001,0,0.5640000000000002,0.8730000000000001,1,1,0,1,0,19,11,0,0.5642262382630558,19.0
2,25,0.3260000000000001,0.5980000000000001,0,0.3260000000000001,0.5980000000000001,1,0,0,1,0,11,4,1,-0.48797400300974314,11.0
3,25,0.5720000000000002,0.8480000000000001,0,0.5720000000000002,0.8480000000000001,1,1,0,1,0,22,8,0,0.4103463551004043,22.0
0,26,0.3840000000000002,0.6000000000000001,4,0.3840000000000002,0.2500000000000001,1,0,0,1,0,20,11,1,-0.12892094229688944,20.0
1,26,0.5740000000000002,0.8750000000000001,0,0.5740000000000002,0.8750000000000001,1,0,0,1,0,20,11,0,0.5642262382630558,20.0
2,26,0.33600000000000013,0.6000000000000001,0,0.33600000000000013,0.6000000000000001,1,1,0,1,0,12,5,1,-0.4366807086221926,12.0
3,26,0.5820000000000002,0.8500000000000001,0,0.5820000000000002,0.8500000000000001,1,1,0,1,0,23,9,0,0.46163964948795483,23.0
0,27,0.3940000000000002,0.6020000000000001,3,0.3940000000000002,0.2520000000000001,1,1,0,1,0,21,12,1,-0.07762764790933885,21.0
1,27,0.5840000000000002,0.8770000000000001,0,0.5840000000000002,0.8770000000000001,1,0,0,1,0,21,11,0,0.5642262382630558,21.0
2,27,0.34600000000000014,0.6020000000000001,0,0.34600000000000014,0.6020000000000001,1,1,0,1,0,13,6,1,-0.38538741423464207,13.0
3,27,0.5920000000000002,0.8520000000000001,0,0.5920000000000002,0.8520000000000001,1,1,0,1,0,24,10,0,0.5129329438755054,24.0
0,28,0.4040000000000002,0.6040000000000001,2,0.4040000000000002,0.2540000000000001,0,1,0,0,0,21,12,1,-0.07762764790933885,21.0
1,28,0.5940000000000002,0.8790000000000001,0,0.5940000000000002,0.8790000000000001,1,0,1,1,0,22,11,0,0.5642262382630558,22.0
2,28,0.35600000000000015,0.6040000000000001,0,0.35600000000000015,0.6040000000000001,0,0,1,0,0,13,6,1,-0.38538741423464207,13.0
3,28,0.6020000000000002,0.8540000000000001,0,0.6020000000000002,0.8540000000000001,1,0,0,1,0,25,10,0,0.5129329438755054,25.0
0,29,0.4080000000000002,0.6060000000000001,1,0.4080000000000002,0.2560000000000001,0,0,0,0,0,21,12,1,-0.07762764790933885,21.0
1,29,0.6140000000000002,0.9060000000000001,0,0.6140000000000002,0.9060000000000001,1,0,0,1,0,23,11,0,0.5642262382630558,23.0
2,29,0.36000000000000015,0.6060000000000001,0,0.36000000000000015,0.6060000000000001,0,1,0,0,0,13,6,1,-0.38538741423464207,13.0
3,29,0.6120000000000002,0.8560000000000001,0,0.6120000000000002,0.8560000000000001,1,0,0,1,0,26,10,0,0.5129329438755054,26.0
0,30,0.4120000000000002,0.6080000000000001,0,0.4120000000000002,0.6080000000000001,1,1,0,1,0,22,13,1,-0.026334353521788256,22.0
1,30,0.6240000000000002,0.9080000000000001,0,0.6240000000000002,0.9080000000000001,1,1,0,1,0,24,12,0,0.6155195326506064,24.0
2,30,0.36400000000000016,0.6080000000000001,0,0.36400000000000016,0.6080000000000001,1,1,0,1,0,14,7,1,-0.33409411984709153,14.0
3,30,0.6220000000000002,0.8580000000000001,0,0.6220000000000002,0.8580000000000001,0,1,0,0,0,26,10,0,0.5129329438755054,26.0
0,31,0.4220000000000002,0.6100000000000001,0,0.4220000000000002,0.6100000000000001,1,0,1,1,0,23,13,1,-0.026334353521788256,23.0
1,31,0.6340000000000002,0.9100000000000001,0,0.6340000000000002,0.9100000000000001,1,0,0,1,0,25,12,0,0.6155195326506064,25.0
2,31,0.37400000000000017,0.6100000000000001,0,0.37400000000000017,0.6100000000000001,1,0,0,1,0,15,7,1,-0.33409411984709153,15.0
3,31,0.6260000000000002,0.8600000000000001,0,0.6260000000000002,0.8600000000000001,1,1,0,1,0,27,11,0,0.5642262382630558,27.0
0,32,0.4420000000000002,0.6370000000000001,0,0.4420000000000002,0.6370000000000001,1,1,1,1,1,24,14,2,-0.6681882396941831,24.0
1,32,0.6440000000000002,0.9120000000000001,0,0.6440000000000002,0.9120000000000001,1,1,0,1,0,26,13,0,0.666812827038157,26.0
2,32,0.3840000000000002,0.6120000000000001,0,0.3840000000000002,0.6120000000000001,1,0,0,1,0,16,7,1,-0.33409411984709153,16.0
3,32,0.6360000000000002,0.8620000000000001,0,0.6360000000000002,0.8620000000000001,1,0,0,1,0,28,11,0,0.5642262382630558,28.0
0,33,0.2520000000000002,0.33900000000000013,8,0.2520000000000002,0.05,0,0,1,0,0,24,14,2,-0.6681882396941831,24.0
1,33,0.6540000000000002,0.9140000000000001,0,0.6540000000000002,0.9140000000000001,1,0,0,1,0,27,13,0,0.666812827038157,27.0
2,33,0.3940000000000002,0.6140000000000001,0,0.3940000000000002,0.6140000000000001,1,0,0,1,0,17,7,1,-0.33409411984709153,17.0
3,33,0.6460000000000002,0.8640000000000001,0,0.6460000000000002,0.8640000000000001,1,1,0,1,0,29,12,0,0.6155195326506064,29.0
0,34,0.2560000000000002,0.34100000000000014,7,0.2560000000000002,0.05,0,0,0,0,0,24,14,2,-0.6681882396941831,24.0
1,34,0.6640000000000003,0.9160000000000001,0,0.6640000000000003,0.9160000000000001,1,1,0,1,0,28,14,0,0.7181061214257075,28.0
2,34,0.4040000000000002,0.6160000000000001,0,0.4040000000000002,0.6160000000000001,1,1,0,1,0,18,8,1,-0.282800825459541,18.0
3,34,0.6560000000000002,0.8660000000000001,0,0.6560000000000002,0.8660000000000001,1,1,0,1,0,30,13,0,0.666812827038157,30.0
0,35,0.26000000000000023,0.34300000000000014,6,0.26000000000000023,0.05,0,0,0,0,0,24,14,2,-0.6681882396941831,24.0
1,35,0.6740000000000003,0.9180000000000001,0,0.6740000000000003,0.9180000000000001,1,0,0,1,0,29,14,0,0.7181061214257075,29.0
2,35,0.4140000000000002,0.6180000000000001,0,0.4140000000000002,0.6180000000000001,1,1,0,1,0,19,9,1,-0.23150753107199046,19.0
3,35,0.6660000000000003,0.8680000000000001,0,0.6660000000000003,0.8680000000000001,1,1,0,1,0,31,14,0,0.7181061214257075,31.0
0,36,0.26400000000000023,0.34500000000000014,5,0.26400000000000023,0.05,0,0,1,0,0,24,14,2,-0.6681882396941831,24.0
1,36,0.6840000000000003,0.9200000000000002,0,0.6840000000000003,0.9200000000000002,1,1,0,1,0,30,15,0,0.769399415813258,30.0
2,36,0.4240000000000002,0.6200000000000001,0,0.4240000000000002,0.6200000000000001,1,1,0,1,0,20,10,1,-0.18021423668443992,20.0
3,36,0.6760000000000003,0.8700000000000001,0,0.6760000000000003,0.8700000000000001,1,1,0,1,0,32,15,0,0.769399415813258,32.0
0,37,0.26800000000000024,0.34700000000000014,4,0.26800000000000024,0.05,0,0,0,0,0,24,14,2,-0.6681882396941831,24.0
1,37,0.6940000000000003,0.9220000000000002,0,0.6940000000000003,0.9220000000000002,1,1,0,1,0,31,16,0,0.8206927102008086,31.0
2,37,0.4340000000000002,0.6220000000000001,0,0.4340000000000002,0.6220000000000001,1,1,0,1,0,21,11,1,-0.12892094229688944,21.0
3,37,0.6860000000000003,0.8720000000000001,0,0.6860000000000003,0.8720000000000001,1,1,0,1,0,33,16,0,0.8206927102008086,33.0
0,38,0.27200000000000024,0.34900000000000014,3,0.27200000000000024,0.05,0,0,0,0,0,24,14,2,-0.6681882396941831,24.0
1,38,0.7040000000000003,0.9240000000000002,0,0.7040000000000003,0.9240000000000002,1,0,0,1,0,32,16,0,0.8206927102008086,32.0
2,38,0.44400000000000023,0.6240000000000001,0,0.44400000000000023,0.6240000000000001,0,0,0,0,0,21,11,1,-0.12892094229688944,21.0
3,38,0.6960000000000003,0.8740000000000001,0,0.6960000000000003,0.8740000000000001,1,0,0,1,0,34,16,0,0.8206927102008086,34.0
0,39,0.27600000000000025,0.35100000000000015,2,0.27600000000000025,0.05,0,0,0,0,0,24,14,2,-0.6681882396941831,24.0
1,39,0.7140000000000003,0.9260000000000002,0,0.7140000000000003,0.9260000000000002,1,0,0,1,0,33,16,0,0.8206927102008086,33.0
2,39,0.44800000000000023,0.6260000000000001,0,0.44800000000000023,0.6260000000000001,0,1,0,0,0,21,11,1,-0.12892094229688944,21.0
3,39,0.7060000000000003,0.8760000000000001,0,0.7060000000000003,0.8760000000000001,1,1,0,1,0,35,17,0,0.8719860045883592,35.0
0,40,0.28000000000000025,0.35300000000000015,1,0.28000000000000025,0.05,0,0,0,0,0,24,14,2,-0.6681882396941831,24.0
1,40,0.7240000000000003,0.9280000000000002,0,0.7240000000000003,0.9280000000000002,1,1,0,1,0,34,17,0,0.8719860045883592,34.0
2,40,0.45200000000000023,0.6280000000000001,0,0.45200000000000023,0.6280000000000001,0,0,0,0,0,21,11,1,-0.12892094229688944,21.0
3,40,0.7160000000000003,0.8780000000000001,0,0.7160000000000003,0.8780000000000001,1,0,0,1,0,36,17,0,0.8719860045883592,36.0
0,41,0.28400000000000025,0.35500000000000015,0,0.28400000000000025,0.35500000000000015,1,0,0,1,0,25,14,2,-0.6681882396941831,25.0
1,41,0.7340000000000003,0.9300000000000002,0,0.7340000000000003,0.9300000000000002,1,1,0,1,0,35,18,0,0.9232792989759097,35.0
2,41,0.45600000000000024,0.6300000000000001,0,0.45600000000000024,0.6300000000000001,0,0,0,0,0,21,11,1,-0.12892094229688944,21.0
3,41,0.7260000000000003,0.8800000000000001,0,0.7260000000000003,0.8800000000000001,1,1,0,1,0,37,18,0,0.9232792989759097,37.0
0,42,0.29400000000000026,0.35700000000000015,0,0.29400000000000026,0.35700000000000015,1,0,0,1,0,26,14,2,-0.6681882396941831,26.0
1,42,0.7440000000000003,0.9320000000000002,0,0.7440000000000003,0.9320000000000002,1,1,0,1,0,36,19,0,0.9745725933634601,36.0
2,42,0.46000000000000024,0.6320000000000001,0,0.46000000000000024,0.6320000000000001,1,0,0,1,0,22,11,1,-0.12892094229688944,22.0
3,42,0.7360000000000003,0.8820000000000001,0,0.7360000000000003,0.8820000000000001,1,0,0,1,0,38,18,0,0.9232792989759097,38.0
0,43,0.30400000000000027,0.35900000000000015,0,0.30400000000000027,0.35900000000000015,0,0,0,0,0,26,14,2,-0.6681882396941831,26.0
1,43,0.7540000000000003,0.9340000000000002,0,0.7540000000000003,0.9340000000000002,1,1,0,1,0,37,20,0,1.0258658877510107,37.0
2,43,0.47000000000000025,0.6340000000000001,0,0.47000000000000025,0.6340000000000001,1,1,0,1,0,23,12,1,-0.07762764790933885,23.0
3,43,0.7460000000000003,0.8840000000000001,0,0.7460000000000003,0.8840000000000001,1,0,0,1,0,39,18,0,0.9232792989759097,39.0
0,44,0.3080000000000003,0.36100000000000015,0,0.3080000000000003,0.36100000000000015,0,0,0,0,0,26,14,2,-0.6681882396941831,26.0
1,44,0.7640000000000003,0.9360000000000002,0,0.7640000000000003,0.9360000000000002,1,0,0,1,0,38,20,0,1.0258658877510107,38.0
2,44,0.48000000000000026,0.6360000000000001,0,0.48000000000000026,0.6360000000000001,1,0,0,1,0,24,12,1,-0.07762764790933885,24.0
3,44,0.7560000000000003,0.8860000000000001,0,0.7560000000000003,0.8860000000000001,1,1,0,1,0,40,19,0,0.9745725933634601,40.0
0,45,0.3120000000000003,0.36300000000000016,0,0.3120000000000003,0.36300000000000016,0,0,0,0,0,26,14,2,-0.6681882396941831,26.0
1,45,0.7740000000000004,0.9380000000000002,0,0.7740000000000004,0.9380000000000002,1,0,0,1,0,39,20,0,1.0258658877510107,39.0
2,45,0.49000000000000027,0.6380000000000001,0,0.49000000000000027,0.6380000000000001,1,0,0,1,0,25,12,1,-0.07762764790933885,25.0
3,45,0.7660000000000003,0.8880000000000001,0,0.7660000000000003,0.8880000000000001,1,0,0,1,0,41,19,0,0.9745725933634601,41.0
0,46,0.3160000000000003,0.36500000000000016,0,0.3160000000000003,0.36500000000000016,1,1,0,1,0,27,15,2,-0.6168949453066326,27.0
1,46,0.7840000000000004,0.9400000000000002,0,0.7840000000000004,0.9400000000000002,1,1,0,1,0,40,21,0,1.0771591821385613,40.0
2,46,0.5000000000000002,0.6400000000000001,0,0.5000000000000002,0.6400000000000001,0,0,0,0,0,25,12,1,-0.07762764790933885,25.0
3,46,0.7760000000000004,0.8900000000000001,0,0.7760000000000004,0.8900000000000001,1,1,0,1,0,42,20,0,1.0258658877510107,42.0
0,47,0.3260000000000003,0.36700000000000016,0,0.3260000000000003,0.36700000000000016,1,0,1,1,0,28,15,2,-0.6168949453066326,28.0
1,47,0.7940000000000004,0.9420000000000002,0,0.7940000000000004,0.9420000000000002,1,0,0,1,0,41,21,0,1.0771591821385613,41.0
2,47,0.5040000000000002,0.6420000000000001,0,0.5040000000000002,0.6420000000000001,1,1,0,1,0,26,13,1,-0.026334353521788256,26.0
3,47,0.7860000000000004,0.8920000000000001,0,0.7860000000000004,0.8920000000000001,1,1,0,1,0,43,21,0,1.0771591821385613,43.0
0,48,0.3460000000000003,0.3940000000000002,0,0.3460000000000003,0.3940000000000002,0,0,0,0,0,28,15,2,-0.6168949453066326,28.0
1,48,0.8,0.9440000000000002,0,0.8,0.9440000000000002,1,1,0,1,0,42,22,0,1.1284524765261117,42.0
2,48,0.5140000000000002,0.6440000000000001,0,0.5140000000000002,0.6440000000000001,0,1,0,0,0,26,13,1,-0.026334353521788256,26.0
3,48,0.7960000000000004,0.8940000000000001,0,0.7960000000000004,0.8940000000000001,1,1,0,1,0,44,22,0,1.1284524765261117,44.0
0,49,0.3500000000000003,0.3960000000000002,0,0.3500000000000003,0.3960000000000002,1,1,0,1,0,29,16,2,-0.565601650919082,29.0
1,49,0.8,0.9460000000000002,0,0.8,0.9460000000000002,0,1,0,0,0,42,22,0,1.1284524765261117,42.0
2,49,0.5180000000000002,0.6460000000000001,0,0.5180000000000002,0.6460000000000001,0,0,1,0,0,26,13,1,-0.026334353521788256,26.0
3,49,0.8,0.8960000000000001,0,0.8,0.8960000000000001,1,1,0,1,0,45,23,0,1.1797457709136623,45.0
0,50,0.3600000000000003,0.3980000000000002,0,0.3600000000000003,0.3980000000000002,1,0,0,1,0,30,16,2,-0.565601650919082,30.0
1,50,0.8,0.9480000000000002,0,0.8,0.9480000000000002,1,1,0,1,0,43,23,0,1.1797457709136623,43.0
2,50,0.5220000000000002,0.6480000000000001,0,0.5220000000000002,0.6480000000000001,1,1,0,1,0,27,14,1,0.024958940865762225,27.0
3,50,0.8,0.8980000000000001,0,0.8,0.8980000000000001,1,1,0,1,0,46,24,0,1.2310390653012129,46.0
