split,policy,seed,H0,n_intervals,n_reference_updates,W,W_over_H0,delta_H,original_final_relative_energy_change,jump_sum,jump_sum_over_H0,boundary_term,boundary_over_H0,telescope_error,work_energy_error,max_interval_work_energy_error,max_stored_relative_energy_error,positive_net_interval_fraction,net_over_sum_absolute_interval_work,unreferenced_work_over_H0,reference_assisted_work_over_H0,updates_with_positive_post_power,updates_with_negative_post_power,max_nonfull_power_contraction_error
heldout,fixed_streak,2026090601,0.4779000000000001,2000,130,0.27110938094029946,0.5672931176821499,0.27110938094026005,0.5672931176820674,0.27678731383283245,0.5791741239439891,-0.0056779328925329955,-0.011881006261839286,0.0,3.941291737419306e-14,5.576593874179192e-16,0.0,0.9685,0.9996392270235479,0.5542318032665152,0.013061314415634823,123,7,1.1145598333150986e-16
heldout,class_horizon,2026090602,0.9218749999999997,2000,165,0.3757303088299668,0.4075718604257268,0.37573030882989056,0.40757186042564414,0.4405150056464078,0.47784678578593404,-0.06478469681644097,-0.07027492536020719,0.0,7.6216810640517e-14,8.200905232680356e-16,0.0,0.969,0.9997314903336346,0.3948077432395555,0.01276411718617136,162,3,1.5308934675495323e-16
heldout,empirical_horizon,2026090602,0.9218749999999997,2000,101,0.6759411593411235,0.7332243084378292,0.6759411593410555,0.7332243084377553,0.727949329074569,0.7896399501825836,-0.05200816973344549,-0.056415641744754455,0.0,6.80566714095221e-14,8.568449769152942e-16,0.0,0.951,0.9988496897119632,0.719852389855606,0.013371918582221292,96,5,2.2898349882893854e-16
heldout,fixed_streak,2026090602,0.9218749999999997,2000,131,0.5224184871423865,0.5666912402900466,0.522418487142324,0.5666912402899787,0.5648886366377079,0.6127605549968359,-0.04247014949532149,-0.04606931470678943,0.0,6.250555628639631e-14,8.342935717275957e-16,0.0,0.955,0.9986267324439078,0.5538013860751195,0.012889854214925913,126,5,1.5612511283791264e-16
heldout,class_horizon,2026090603,1.417475,2000,205,0.4572839584090164,0.32260460213338255,0.457283958408919,0.3226046021333138,0.6424629592568104,0.45324464929315184,-0.18517900084779396,-0.13064004715976926,0.0,9.742207041085749e-14,1.4984758225922157e-15,0.0,0.9755,0.9970946528560833,0.31040033723816307,0.012204264895219256,198,7,2.6194324487249787e-16
heldout,empirical_horizon,2026090603,1.417475,2000,133,0.8241016740241162,0.5813870960857271,0.8241016740240092,0.5813870960856518,1.064907567405776,0.7512707930692082,-0.24080589338165967,-0.16988369698348096,-2.220446049250313e-16,1.0691447727140257e-13,1.8528473026691028e-15,0.0,0.961,0.9980313798271644,0.568791566830321,0.012595529255405701,126,7,2.6020852139652106e-16
heldout,fixed_streak,2026090603,1.417475,2000,138,0.7751237406806291,0.546834152757988,0.7751237406805269,0.5468341527579159,1.009895041466914,0.7124605664769494,-0.23477130078628475,-0.16562641371896136,0.0,1.021405182655144e-13,1.5935603531191944e-15,0.0,0.9615,0.9847219294055839,0.5345468599878719,0.012287292770115952,129,9,2.5240226575462543e-16
heldout,class_horizon,2026090604,0.24927499999999997,2000,96,0.1921429589124129,0.7708071764613897,0.19214295891239086,0.7708071764613013,0.19229438063442952,0.7714146249500734,-0.0001514217220166408,-0.0006074484886837462,2.7755575615628914e-17,2.2037927038809357e-14,2.3505503099485736e-16,0.0,0.9475,0.9989389623366043,0.7577399439294878,0.013067232531901818,90,6,3.5561831257524545e-17
heldout,empirical_horizon,2026090604,0.24927499999999997,2000,63,0.33127279413690064,1.328945117388028,0.33127279413687877,1.3289451173879403,0.3410272651883138,1.368076482552658,-0.009754471051413142,-0.03913136516463,0.0,2.1871393585115584e-14,3.6136458408941863e-16,0.0,0.914,0.9952140759013727,1.3152841702702383,0.013660947117788936,58,5,4.683753385137379e-17
heldout,fixed_streak,2026090604,0.24927499999999997,2000,121,0.1420175560470753,0.5697224192039929,0.1420175560470569,0.5697224192039191,0.14263550185294008,0.5722013914469566,-0.0006179458058647677,-0.0024789722429636655,0.0,1.840194663316197e-14,2.021494950599223e-16,0.0,0.9615,0.99963580286253,0.5573810976362156,0.012341321567777121,117,4,4.358492733391728e-17
heldout,class_horizon,2026090605,0.47789999999999994,2000,127,0.2609445195923306,0.5460232676131631,0.2609445195922951,0.5460232676130887,0.25104753821782455,0.5253139531655673,0.00989698137450602,0.02070931444759578,5.551115123125783e-17,3.552713678800501e-14,5.895891413976173e-16,0.0,0.9605,0.9993627677189523,0.5332144488573055,0.012808818755857248,120,7,8.933825901280557e-17
heldout,empirical_horizon,2026090605,0.47789999999999994,2000,82,0.4638301031037929,0.9705589100309541,0.4638301031037521,0.9705589100308687,0.4441693534813493,0.9294190280003125,0.019660749622443643,0.04113988203064165,0.0,4.08006961549745e-14,4.968898556501067e-16,0.0,0.9355,0.9978555568893792,0.9571090074483475,0.01344990258260746,77,5,9.194034422677078e-17
heldout,fixed_streak,2026090605,0.47789999999999994,2000,124,0.26753769710985587,0.559819412240753,0.26753769710982894,0.5598194122406968,0.2541201493770124,0.531743355047107,0.01341754773284346,0.02807605719364608,0.0,2.6922908347160046e-14,4.026794631246944e-16,0.0,0.96,0.9995164096503663,0.5472173706841743,0.01260204155657877,117,7,9.063930161978817e-17
heldout,class_horizon,2026090606,0.9218749999999998,2000,162,0.3722209146885457,0.4037650600011344,0.37222091468847407,0.4037650600010567,0.49133085521712366,0.5329690632863716,-0.11910994052857798,-0.12920400328523718,0.0,7.16093850883226e-14,8.023638177478976e-16,0.0,0.967,0.9912837919247497,0.3918513441965588,0.01191371580457578,153,9,1.457167719820518e-16
heldout,empirical_horizon,2026090606,0.9218749999999998,2000,101,0.6741181662975527,0.7312468244583624,0.6741181662974738,0.7312468244582768,0.8133746749912029,0.8823047321938474,-0.1392565086936501,-0.15105790773548491,0.0,7.893685705084863e-14,8.469787371456761e-16,0.0,0.943,0.9935484037917979,0.7186991182365137,0.012547706221847822,94,7,1.4051260155412137e-16
heldout,fixed_streak,2026090606,0.9218749999999998,2000,122,0.5384185231803673,0.5840472115854833,0.5384185231802858,0.584047211585395,0.6720186635341302,0.728969397731938,-0.13360014035376297,-0.14492218614645477,1.1102230246251565e-16,8.149037000748649e-14,7.796701110250603e-16,0.0,0.9525,0.9928765629251779,0.5720470657783785,0.012000145807105084,118,4,1.6479873021779667e-16
heldout,class_horizon,2026090607,1.417475,2000,200,0.45814466549151245,0.32321181360624524,0.4581446654914181,0.3232118136061786,0.5529058493834611,0.3900639160362342,-0.09476118389194857,-0.06685210242998893,-1.1102230246251565e-16,9.43689570931383e-14,1.2203779653496838e-15,0.0,0.976,0.9999064719122059,0.3105736817803602,0.012638131825885567,194,5,2.2724877535296173e-16
heldout,empirical_horizon,2026090607,1.417475,2000,120,0.8361947138041984,0.5899184915460226,0.8361947138040424,0.5899184915459126,0.9737080958158498,0.6869314067732057,-0.13751338201165128,-0.09701291522718304,-1.1102230246251565e-16,1.559863349598345e-13,1.635844237846129e-15,0.0,0.959,0.9993302941566226,0.5769598585390866,0.012958633006936915,115,4,2.7755575615628914e-16
heldout,fixed_streak,2026090607,1.417475,2000,126,0.8098448390024178,0.5713291867598496,0.8098448390022979,0.571329186759765,0.948429328586442,0.6690977467584557,-0.13858448958402417,-0.09776855999860609,-1.1102230246251565e-16,1.199040866595169e-13,1.3839840731777464e-15,0.0,0.9645,0.9995157745069165,0.5585253495207442,0.012803837239105078,120,5,2.3071822230491534e-16
heldout,class_horizon,2026090608,0.24927499999999994,2000,101,0.19228381010944126,0.7713722198754039,0.19228381010942222,0.7713722198753276,0.20581410633698724,0.825650812704793,-0.013530296227545991,-0.05427859282938921,0.0,1.9040324872321435e-14,2.522938455373769e-16,0.0,0.953,0.9990041157072056,0.7587706730583276,0.01260154681707673,94,7,5.898059818321144e-17
heldout,empirical_horizon,2026090608,0.24927499999999994,2000,70,0.35222443380664814,1.4129954219502485,0.35222443380660995,1.4129954219500953,0.37996509605121187,1.5242807985205575,-0.027740662244563757,-0.11128537657030896,0.0,3.8191672047105385e-14,4.3308455779933475e-16,0.0,0.9405,0.9974443928911156,1.3990648896808724,0.013930532269374235,63,7,6.591949208711867e-17
heldout,fixed_streak,2026090608,0.24927499999999994,2000,129,0.14063760223009555,0.5641865499151363,0.14063760223007757,0.5641865499150641,0.14774098298073562,0.5926827117871253,-0.007103380750640063,-0.02849616187198903,0.0,1.7985612998927536e-14,2.27302985461586e-16,0.0,0.969,0.999692922146362,0.5519184828273297,0.012268067087805576,122,7,4.228388472693467e-17
heldout,class_horizon,2026090609,0.4779,2000,127,0.27996685848267505,0.585827282868121,0.27996685848263314,0.5858272828680333,0.3104567193734354,0.6496269499339514,-0.030489860890760362,-0.06379966706583043,5.551115123125783e-17,4.191091917959966e-14,4.1253892663073444e-16,0.0,0.964,0.9996026039509663,0.5726574802340518,0.01316980263407002,121,6,8.326672684688674e-17
heldout,empirical_horizon,2026090609,0.4779,2000,86,0.51037833490807,1.0679605250221178,0.5103783349080271,1.0679605250220279,0.5575100228452848,1.1665830149514225,-0.047131687937214825,-0.09862248992930493,0.0,4.296563105299356e-14,4.566117449422702e-16,0.0,0.944,0.9986454560295692,1.0533113147213258,0.014649210300792604,80,6,1.0234868508263162e-16
