evaluation_id,step_id,physical_time_fs,route,reason,energy_eV,max_force_error_eV_A,endpoint_work_eV,accepted,checked,violation,reference_anchor,reference_probe,reference_check,segment_id,model_id
0,-1,0.0,dft,md,-5087.0189564010625,,,True,False,,,,,,qe-pbe-d3:d23205a4a5469f4f
1,0,1.0,dft,md,-5087.018172577088,,,True,False,,,,,,qe-pbe-d3:d23205a4a5469f4f
2,1,2.0,dft,md,-5087.015973897097,,,True,False,,,,,,qe-pbe-d3:d23205a4a5469f4f
3,2,3.0,dft,md,-5087.012426756872,,,True,False,,,,,,qe-pbe-d3:d23205a4a5469f4f
4,3,4.0,dft,md,-5087.007633063054,,,True,False,,,,,,qe-pbe-d3:d23205a4a5469f4f
5,4,5.0,dft,md,-5087.00172710383,,,True,False,,,,,,qe-pbe-d3:d23205a4a5469f4f
6,5,6.0,dft,md,-5086.9948692903245,,,True,False,,,,,,qe-pbe-d3:d23205a4a5469f4f
