path_index,time_fs,in_domain,admitted,maximum_force_error_eV_A,endpoint_work_eV,predicted_work_eV,envelope_eV_A,anchored_hamiltonian_drift_eV,reference_hamiltonian_change_eV
0,0.125,1,1,0.030312721809356142,0.0006461513292219806,0.0006378824369627306,0.04750935593176303,8.311514292701216e-05,0.0007292664721489928
0,0.25,1,1,0.060035988964231374,0.002562043919250111,0.002541495214736915,0.12270726303867549,0.0002018046320038892,0.002763848551254
0,0.375,1,1,0.08923278786826686,0.005739814638755244,0.005689016931789634,0.22545395991307227,0.00035095023190793474,0.006090764870663179
0,0.5,1,0,0.11772754328838389,0.010153775159638449,0.01004983885651363,0.35525179596318857,0.000528952624526121,0.01068272778416457
0,0.75,1,0,0.17270191307983157,0.02266437239736025,0.02224739195860895,0.6935236327387924,0.0009458418578325786,0.02361021425519283
0,1.0,0,0,0.22472660497824185,0.03988956066636383,0.03873032264907824,1.1317389755416496,0.00140517975465905,0.04129474042102288
0,1.5,0,0,0.31914457434177845,0.087795926822571,0.08242521236697697,2.2799418930899247,0.0022311528964151645,0.09002707971898616
0,2.0,0,0,0.4000022592590442,0.15250201885049958,0.13620415717898343,3.739409240204824,0.0026245529535046663,0.15512657180400424
0,3.0,0,0,0.5170100462657716,0.32437677815490384,0.25270301741385726,7.360401373302769,0.001909037482842324,0.32628581563774617
0,4.0,0,0,0.5707770781994218,0.5392812913434588,0.3522172520313506,11.607904769902754,0.0009620494495388154,0.5402433407929976
1,0.125,1,1,0.03341514769692657,0.00041881226360015577,0.00041593173474772715,0.05881959532611181,5.022297028392953e-05,0.0004690352338840853
1,0.25,1,1,0.06697918250301077,0.0016363361093097509,0.0016609670426737874,0.161070371192291,0.00013779972910026722,0.001774135838410018
1,0.375,1,0,0.10048562959248428,0.0036163626082502225,0.003726222185183949,0.3066549321711115,0.0002591633416794588,0.0038755259499296812
1,0.5,1,0,0.1339713519894953,0.006342541976255712,0.0065966213260100805,0.49502715171070155,0.0004093374510356733,0.006751879427291385
1,0.75,1,0,0.20016582027925894,0.01399020203271268,0.014663000775806427,0.9970194394810061,0.0007735747283804037,0.014763776761093084
1,1.0,0,0,0.2647558092399786,0.024491584749046086,0.025625779548473723,1.659142743483367,0.0011853117939153723,0.025676896542961458
1,1.5,0,0,0.38567416146952244,0.054187374464900684,0.05492617591890705,3.4211210741523472,0.0019668456867396045,0.05615422015164029
1,2.0,0,0,0.49216306635106016,0.09643639009011995,0.0913372782739286,5.681502332039408,0.002480332273264267,0.09891672236338422
1,3.0,0,0,0.7367785323676213,0.22279239526343025,0.17110264363830374,11.261420693706079,0.002599219687172305,0.22539161495060256
1,4.0,0,0,0.9448768293464787,0.4092927768083242,0.23944004862587417,17.615154184996094,0.002147972524437658,0.41144074933276187
2,0.125,1,1,0.013739303315203377,0.0008769207939983382,0.0008603122072370329,0.04366230645056582,4.058327012837915e-05,0.0009175040641267174
2,0.25,1,1,0.02747662622588521,0.0034976200755120965,0.003435623251559269,0.1386317185040894,0.00014660700341021654,0.003644227078922313
2,0.375,1,0,0.041228954213573206,0.007834334862718851,0.007706907841275397,0.2846749113863977,0.0003130083620232361,0.008147343224742087
2,0.5,1,0,0.056070172211301166,0.013827146690952844,0.013641316258247148,0.48098000448980993,0.0005373683358386363,0.01436451502679148
2,0.75,1,0,0.08802322376177536,0.030490859481076694,0.030302083422532343,1.0195827626149374,0.0011326948585763316,0.031623554339653026
2,1.0,1,0,0.12230184406118094,0.052808734295215834,0.05290088224743987,1.7420760054280446,0.0018772174580622275,0.05468595175327806
2,1.5,0,0,0.19585381320688786,0.11169485430717391,0.112999495780891,3.6712825772766347,0.0035472476346715687,0.11524210194184548
2,2.0,0,0,0.2732076372659229,0.18592328762530083,0.18692021835671271,6.1131371786549735,0.004977856526834943,0.19090114415213577
2,3.0,0,0,0.4222809983303023,0.36401906031590386,0.34439228847148035,11.907962965539348,0.005707629164973846,0.3697266894808777
2,4.0,0,0,0.5429579674671745,0.5534144974678559,0.46990573817089726,18.197297617388166,0.00442175298972064,0.5578362504575765
3,0.125,1,1,0.01651888734888239,0.0007613185954614423,0.0007701905003895189,0.04020872198160255,-3.060338336133414e-05,0.0007307152121001081
3,0.25,1,1,0.03279932847361907,0.003054404383858994,0.003076394691371755,0.12220701673302764,-5.277850276414094e-06,0.00304912653358258
3,0.375,1,1,0.04882059286294977,0.0068508236607377655,0.006902886492329836,0.24588709180928114,7.526959707969058e-05,0.006926093257817456
3,0.5,1,0,0.06473878458041743,0.012103457428176126,0.012221842282356291,0.4106376944947162,0.00020967556755276638,0.012313132995728893
3,0.75,1,0,0.09576426017921155,0.02668606547444191,0.02716721420564973,0.8596889863256125,0.000633465826817392,0.027319531301259303
3,1.0,1,0,0.1260068807948054,0.04612353934993638,0.047462225958115035,1.4598009972574648,0.0012353894628476525,0.04735892881278403
3,1.5,0,0,0.18370821879209517,0.09705860033508946,0.10152071329061488,3.0601025802364497,0.0027487178630416914,0.09980731819813116
3,2.0,0,0,0.23733036767616977,0.16097956915404515,0.16810403545916122,5.087765514947196,0.004183470168903011,0.16516303932294818
3,3.0,0,0,0.3426022076139502,0.320740185802898,0.3099823330725651,9.927861666248821,0.004970890326027488,0.32571107612892547
3,4.0,0,0,0.44388025243699214,0.5164249466179522,0.4234700139745486,15.285435879452313,0.0034545407256740823,0.5198794873436263
