seed,factor,time_fs,saved_forecast_length_A,observed_path_length_A,saved_forecast_bound_ev_A,inside_budget
2026090501,0.5,0.5,0.009008330820060282,0.009008330820060282,0.05341122703194324,True
2026090501,0.5,1.0,0.01746551069794568,0.017465510697945684,0.06990596448913172,True
2026090501,0.5,1.5,0.025303214454732756,0.02530321445473276,0.08519248642695619,True
2026090501,0.5,2.0,0.03247877073646878,0.032478770736468786,0.09918756737421273,True
2026090501,0.5,2.5,0.03897816607751195,0.03897816607751196,0.11186387570972688,False
2026090501,1.0,0.5,0.018236243887864337,0.018236243887864337,0.07140918918114672,True
2026090501,1.0,1.0,0.035759834069238966,0.035759834069238966,0.1055868965874852,False
2026090501,2.0,0.5,0.03669571475732632,0.03669571475732632,0.1074122221054655,False
2026090502,0.5,0.5,0.009857990980954167,0.009857990980954167,0.0783067804815921,True
2026090502,0.5,1.0,0.020727958661529468,0.020727958661529468,0.09950737756574027,True
2026090502,0.5,1.5,0.03289264472521483,0.03289264472521483,0.12323317100597397,False
2026090502,1.0,0.5,0.019359801675177698,0.019359801675177698,0.09683894782722874,True
2026090502,1.0,1.0,0.039273310030865816,0.039273310030865816,0.13567791033262763,False
2026090502,2.0,0.5,0.03844090745143034,0.03844090745143034,0.13405440672921276,False
