seed,anchor,factor,step,time_fs,error_ev_A,path_length_A,residual_change_from_anchor_ev_A,measured_vector_secant_ev_A2,empirical_kappa_ev_A2,empirical_bound_along_saved_path_ev_A,horizon_fs,first_observed_crossing_fs,right_censored
2026090501,A,0.5,0,0.0,0.03584153430340846,0.0,0.0,,1.9503827156757572,0.035841534303408445,2.0,,True
2026090501,A,0.5,1,0.5,0.029075556039835315,0.009008330820060282,0.007083298977611462,0.7863053787764938,1.9503827156757572,0.05341122703194324,2.0,,True
2026090501,A,0.5,2,1.0,0.02262150927722505,0.017465510697945684,0.013755392007257864,0.7909891129972559,1.9503827156757572,0.06990596448913174,2.0,,True
2026090501,A,0.5,3,1.5,0.01665448176831591,0.02530321445473276,0.01983770247936807,0.7825184557150138,1.9503827156757572,0.0851924864269562,2.0,,True
2026090501,A,0.5,4,2.0,0.011297642990042264,0.032478770736468786,0.025277184814990847,0.7700432723710114,1.9503827156757572,0.09918756737421275,2.0,,True
2026090501,A,0.5,5,2.5,0.007014193117773931,0.03897816607751196,0.030047100875876656,0.7499090410118383,1.9503827156757572,0.11186387570972689,2.0,,True
2026090501,A,0.5,6,3.0,0.003706501517139563,0.044831709278598336,0.03403361171696277,0.6984168068868281,1.9503827156757572,0.12328052519458711,2.0,,True
2026090501,A,0.5,7,3.5,0.003111648777733194,0.05014295475133941,0.03697685857534741,0.5724917140551926,1.9503827156757572,0.1336394865633324,2.0,,True
2026090501,A,0.5,8,4.0,0.0033835250839594887,0.05511858743108108,0.03851596561947776,0.33627746532490116,1.9503827156757572,0.14334387454145203,2.0,,True
2026090501,A,0.5,9,4.5,0.003873347699367287,0.060064932723461674,0.0383133667570775,0.3212755205306491,1.9503827156757572,0.15299114090547528,2.0,,True
2026090501,A,0.5,10,5.0,0.004316388706065602,0.06531976716620362,0.03618411574068514,0.42469277347730533,1.9503827156757572,0.16324007917633682,2.0,,True
2026090501,A,0.5,11,5.5,0.006619808866555834,0.07115658317145251,0.032171498093268185,0.6993235894440002,1.9503827156757572,0.1746241042275539,2.0,,True
2026090501,A,0.5,12,6.0,0.010465642458037163,0.07773415202126871,0.026552814333157523,0.8637208710695418,1.9503827156757572,0.18745288082340267,2.0,,True
2026090501,A,0.5,13,6.5,0.016274981832280697,0.08510068492902761,0.019789426464594185,0.9273842038101652,1.9503827156757572,0.20182043928115231,2.0,,True
2026090501,A,0.5,14,7.0,0.023690169147984545,0.09322002753329531,0.012586794987021463,0.9157924734569313,1.9503827156757572,0.2176562647591658,2.0,,True
2026090501,A,0.5,15,7.5,0.03115488096521576,0.10199891207174132,0.005897713495543296,0.852071679372794,1.9503827156757572,0.23477844942586404,2.0,,True
2026090501,A,0.5,16,8.0,0.03817352095012944,0.11130916193084502,0.004533844898403035,0.754314032115534,1.9503827156757572,0.25293699982968254,2.0,,True
2026090501,A,0.5,17,8.5,0.04437770280635679,0.12100366078874752,0.009040134871469057,0.6698430954228977,1.9503827156757572,0.27184498283927394,2.0,,True
2026090501,A,0.5,18,9.0,0.0495951003892935,0.13092598897851224,0.014283629693391796,0.5806568714072383,1.9503827156757572,0.29119732023985334,2.0,,True
2026090501,A,0.5,19,9.5,0.05385477835245186,0.14091459982757687,0.01884032209455871,0.5038924155453249,1.9503827156757572,0.31067893419348036,2.0,,True
2026090501,A,1.0,0,0.0,0.03584153430340846,0.0,0.0,,1.9503827156757572,0.035841534303408445,0.5,,True
2026090501,A,1.0,1,0.5,0.021679689428020725,0.018236243887864337,0.014965649614871802,0.8206541712699392,1.9503827156757572,0.07140918918114672,0.5,,True
2026090501,A,1.0,2,1.0,0.010210719248226608,0.035759834069238966,0.030297548413056603,0.8776708803896837,1.9503827156757572,0.1055868965874852,0.5,,True
2026090501,A,1.0,3,1.5,0.015169893113900641,0.05236451627373492,0.04489337462128814,0.8861163386448647,1.9503827156757572,0.13797238175842294,0.5,,True
2026090501,A,1.0,4,2.0,0.022649828582631665,0.06789859770968831,0.0580105061126843,0.8602075551175933,1.9503827156757572,0.16826978569500609,0.5,,True
2026090501,A,1.0,5,2.5,0.03362803580544461,0.08226642697328702,0.06931539448688633,0.8038656385073537,1.9503827156757572,0.19629255155250935,0.5,,True
2026090501,A,1.0,6,3.0,0.04290111005183731,0.09543632125138209,0.07870410118984725,0.7328882178829861,1.9503827156757572,0.22197888571978303,0.5,,True
2026090501,A,1.0,7,3.5,0.05021433523542622,0.10746022248197044,0.08605230301352185,0.6321266118932648,1.9503827156757572,0.24543009485491502,0.5,,True
2026090501,A,1.0,8,4.0,0.05525632616540814,0.11850490862574121,0.09109602586566447,0.4788795504577288,1.9503827156757572,0.2669714598097891,0.5,,True
2026090501,A,1.0,9,4.5,0.05767424390086065,0.12888176803868837,0.09350240867603306,0.2622531230993042,1.9503827156757572,0.2872103070517985,0.5,,True
2026090501,A,1.0,10,5.0,0.057217339453276936,0.13904245630730022,0.0930290049849731,0.18297439842415664,1.9503827156757572,0.3070275378302685,0.5,,True
2026090501,A,1.0,11,5.5,0.05384573792869164,0.14950718815667563,0.08964053400218563,0.3304513226430839,1.9503827156757572,0.32743776995347185,0.5,,True
2026090501,A,1.0,12,6.0,0.04820190810689928,0.16074669942038602,0.08352246761148233,0.5450822120868196,1.9503827156757572,0.34935911845485557,0.5,,True
2026090501,A,1.0,13,6.5,0.041197054503462296,0.17309176813592225,0.07525061057175578,0.6907622160505705,1.9503827156757572,0.373436727101467,0.5,,True
2026090501,A,1.0,14,7.0,0.03147220597291686,0.18670912520426325,0.06553794259505377,0.7809208158860187,1.9503827156757572,0.3999957849607444,0.5,,True
2026090501,A,1.0,15,7.5,0.019151263363029775,0.20162266103546908,0.05319019733580535,0.8393351215041578,1.9503827156757572,0.42908288747553935,0.5,,True
2026090501,A,1.0,16,8.0,0.005038555906309245,0.21774829752174146,0.03863039618341337,0.908716983273894,1.9503827156757572,0.46053405015763527,0.5,,True
2026090501,A,1.0,17,8.5,0.013272766382164184,0.2349257527621304,0.022816142176107113,0.9270576048231003,1.9503827156757572,0.49403666195778384,0.5,,True
2026090501,A,1.0,18,9.0,0.0281471832610016,0.2529414267148238,0.00782484167529077,0.8665150869716526,1.9503827156757572,0.529174121046367,0.5,,True
