seed,anchor,h_A,derivative_norm_ev_A2,empirical_kappa_ev_A2,max_observed_path_secant_ev_A2
2026090501,A,0.001,0.774798138105649,1.9503827156757572,0.9481884621724644
2026090501,A,0.002,0.7747556758684231,1.9503827156757572,0.9481884621724644
2026090502,B,0.001,0.8008598691367701,1.9503827156757572,1.1387961945815936
2026090502,B,0.002,0.800785788058139,1.9503827156757572,1.1387961945815936
