record_index,accepted,force_error_eV_A,spread_eV_A,accepted_violation,updated_after_record,qhat,qhat_state,bound_eV_A,bound_eV_A_state
0,0,0.3051696734370745,0.004627918441169697,0,0,0.0,1,0.0,1
1,0,0.3051696734370746,0.004627918441169693,0,0,54.224253003504536,0,0.3051696734370743,0
2,0,0.318317492037104,0.004753275461691657,0,0,54.224253003504586,0,0.311967064233623,0
3,0,0.329118901447396,0.00492631717753047,0,0,55.32804645920916,0,0.32789155213041515,0
4,0,0.33703517714577624,0.005106245176851314,0,0,55.5351479828391,0,0.3391112295159352,0
5,0,0.342720732921356,0.005246367318423156,0,0,55.5351479828391,0,0.3468929333837998,0
6,0,0.347108204175916,0.005311054840458751,0,0,55.5351479828391,0,0.35048536449268974,0
7,0,0.35072275713696693,0.005284231200026839,0,1,55.5351479828391,0,0.34899570965186505,0
8,0,0.20652693064579603,0.0043876974706803665,0,0,55.80997038038146,0,0.30068723625712734,0
9,0,0.20996501455608912,0.004598619700781022,0,0,55.80997038038146,0,0.31245879967160894,0
10,0,0.21126760337659997,0.004882516617631603,0,0,55.80997038038146,0,0.32830307819212146,0
11,0,0.21134826930395947,0.005224405496871775,0,0,55.80997038038146,0,0.3473838864158973,0
12,0,0.21201285127728015,0.005586461140569848,0,0,55.80997038038146,0,0.3675902011667367,0
13,0,0.2137199508859551,0.0059135882023744904,0,0,55.80997038038146,0,0.385847152796675,0
14,0,0.21461077909618884,0.006148217692691255,0,0,55.80997038038146,0,0.39894181770161763,0
15,0,0.21404008784467943,0.006247204337651733,0,1,55.80997038038146,0,0.40446625942491526,0
16,0,0.10192542700759062,0.010329048234229237,0,0,55.80997038038146,0,0.6322738463902466,0
17,0,0.09914565505168198,0.010298414970978399,0,0,55.80997038038146,0,0.6305642048755629,0
18,0,0.09511495497569511,0.010261469241767344,0,0,55.80997038038146,0,0.6285022648226124,0
19,0,0.09082255710559836,0.010217988675712029,0,0,55.80997038038146,0,0.626075615718943,0
20,0,0.08828263270565706,0.010165484444815607,0,0,55.80997038038146,0,0.623145356147769,0
21,0,0.08702043787970207,0.010096324928502426,0,0,55.80997038038146,0,0.6192855655908087,0
22,0,0.08651572274413652,0.00999771434088912,0,0,55.80997038038146,0,0.6137821116169182,0
23,0,0.08746065798311489,0.009883787816107114,0,1,55.80997038038146,0,0.6074238756432947,0
24,0,0.045267325067723685,0.010883646640970772,0,0,55.80997038038146,0,0.6632259670434983,0
25,0,0.04740496598587506,0.010754986883484545,0,0,55.80997038038146,0,0.656045469789045,0
26,0,0.05051659160711493,0.010613903089244493,0,0,55.80997038038146,0,0.6481715874113558,0
27,0,0.05415562784541061,0.010458655488509726,0,0,55.80997038038146,0,0.6395072234127233,0
28,0,0.057337706875861434,0.010803304356767983,0,0,55.80997038038146,0,0.6587420665418486,0
29,0,0.06508569741432152,0.01163288001254146,0,0,55.80997038038146,0,0.7050406593188518,0
30,0,0.07336385057980135,0.012468885236091779,0,0,55.80997038038146,0,0.7516980860830392,0
31,0,0.07747638046563904,0.013279126537224175,0,1,55.80997038038146,0,0.7969176291002,0
32,0,0.08652390627680075,0.010617186704841386,0,0,55.80997038038146,0,0.6483548459005589,0
33,0,0.08811128412187941,0.010818044231642085,0,0,55.80997038038146,0,0.6595646985219826,0
34,0,0.0899794159336759,0.011006553820464615,0,0,55.80997038038146,0,0.670085413090586,0
35,0,0.0925844090939961,0.010944643752099045,0,0,55.80997038038146,0,0.6666302140088561,0
36,0,0.09562505230871872,0.010513709333531166,0,0,55.80997038038146,0,0.6425797768726959,0
37,0,0.09765987380797622,0.009806615078441976,0,0,55.80997038038146,0,0.6031168674400303,0
38,0,0.09638108024098604,0.008970304089858867,0,0,55.80997038038146,0,0.5564423759384194,0
39,0,0.09011049127853864,0.008161954116515421,0,1,55.5351479828391,0,0.5088104776726659,0
40,0,0.05897239914511396,0.007319986473478518,0,0,55.5351479828391,0,0.46205168001984914,0
41,0,0.04808291362282612,0.0072891023325834395,0,0,55.5351479828391,0,0.4603365246849181,0
42,0,0.037494474858696974,0.007341247748907083,0,0,55.5351479828391,0,0.4632324280970783,0
43,0,0.032827043983866315,0.007428973769974986,0,0,55.5351479828391,0,0.46810430565903,0
44,0,0.030116698866374293,0.0075420990719109494,0,0,55.5351479828391,0,0.47438673604264714,0
45,0,0.028448028359213187,0.007705728681941955,0,0,55.5351479828391,0,0.48347393065009325,0
46,0,0.026070757729989107,0.007947400486169218,0,0,55.5351479828391,0,0.49689521006113396,0
47,0,0.021203914836056062,0.00827581947382266,0,1,55.5351479828391,0,0.5151340071408421,0
48,0,0.004258935443782555,0.007174988407483152,0,0,55.5351479828391,0,0.453999190967571,0
49,0,0.015923883043893795,0.00778053327280685,0,0,55.5351479828391,0,0.4876282146735709,0
50,0,0.02849007750015778,0.008505803614776816,0,0,55.5351479828391,0,0.5279062104424374,0
51,0,0.037320683316337956,0.00923364494729896,0,0,55.5351479828391,0,0.5683269865520815,0
52,0,0.04145008114806565,0.009592875351256924,0,0,55.5351479828391,0,0.588276900195822,0
53,0,0.04798905300059182,0.009504155598422015,0,0,55.5351479828391,0,0.5833498355931344,0
54,0,0.052179218079188384,0.009052606598426565,0,0,55.5351479828391,0,0.558272995056884,0
55,0,0.05545138055521888,0.008464734562918887,0,1,55.5351479828391,0,0.5256254345699923,0
56,0,0.05823605317869805,0.006273037650884251,0,0,55.5351479828391,0,0.40390922222661735,0
57,0,0.0654527087865749,0.006859207561702887,0,0,55.5351479828391,0,0.4364622549670179,0
58,0,0.07121977471014218,0.0073383435948404,0,0,55.5351479828391,0,0.4630711454712202,0
59,0,0.07602435338606259,0.007761226069531284,0,0,55.32804645920916,0,0.48474152301466134,0
60,0,0.08013423694985426,0.008146733056415978,0,0,55.32804645920916,0,0.5060708714953673,0
61,0,0.08006722088796042,0.008239072020044673,0,0,55.32804645920916,0,0.511179805965011,0
62,0,0.0753640864827062,0.008019994135903123,0,0,55.32804645920916,0,0.4990586546130421,0
63,0,0.06621974783534984,0.007507336349909015,0,1,55.32804645920916,0,0.4706943008118849,0
64,1,0.03800526140112033,0.0029098466473363965,0,0,55.32804645920916,0,0.21632417695221132,0
65,1,0.025919856199585777,0.003106103242621656,0,0,55.32804645920916,0,0.22718267097408038,0
66,1,0.01517338756255072,0.0034212708107395503,0,0,55.32804645920916,0,0.24462027682534318,0
67,0,0.0164670121830745,0.003811916606764824,0,0,55.32804645920916,0,0.26623394557692426,0
68,0,0.02130090493853147,0.004198242381470158,0,0,55.32804645920916,0,0.287608595988211,0
69,0,0.02193361892809853,0.0046927252926254924,0,0,55.32804645920916,0,0.31496736946989834,0
70,0,0.022748067178039136,0.005017830043190148,0,0,55.19515960863669,0,0.33215508973152924,0
71,0,0.029426156855523848,0.005089994780382627,0,0,55.000029781183876,0,0.33494989428829886,0
72,0,0.036533141525649876,0.0049316813857552015,0,0,54.86720768254036,0,0.3254547944988894,0
73,1,0.04383600911062734,0.004629490634745673,0,0,38.333060044612246,0,0.2157956025222882,0
74,1,0.04788873648843879,0.004295983846249395,0,0,38.333060044612246,0,0.20301126677357456,0
75,1,0.0474793500601395,0.004023293302902354,0,0,38.333060044612246,0,0.1925582038018545,0
76,1,0.04637775072406189,0.003911763603052265,0,0,38.333060044612246,0,0.18828292912074346,0
77,1,0.046937007410820415,0.003923670516667768,0,0,38.333060044612246,0,0.18873935755531257,0
78,1,0.048643321435040146,0.004011078990827363,0,0,38.333060044612246,0,0.19208999184368025,0
79,1,0.051672499988994626,0.004173466458107476,0,0,38.333060044612246,0,0.19831480037742133,0
80,1,0.055588927804272284,0.004410687899634229,0,0,38.333060044612246,0,0.20740822413933582,0
81,1,0.05936697001415681,0.0047180537275107425,0,0,38.333060044612246,0,0.21919049687498815,0
82,1,0.06160616155113235,0.005078878422530095,0,0,38.333060044612246,0,0.23302201157474392,0
83,1,0.061169370430923596,0.005457588656957804,0,0,38.333060044612246,0,0.24753913373057046,0
84,0,0.05798439954566878,0.0057973181037648015,0,0,38.333060044612246,0,0.260562003013946,0
85,0,0.05338406576824198,0.0061876729806742995,0,1,37.50299641299059,0,0.26955927401197766,0
86,1,0.03815138591411209,0.004411505066339182,0,0,35.91449325334159,0,0.19435146219546237,0
87,1,0.03482992388301111,0.00455115665172538,0,0,35.91449325334159,0,0.19936697811663345,0
88,1,0.03275677772718204,0.004449216548362772,0,0,35.91449325334159,0,0.1957058509621721,0
89,1,0.030483546683974353,0.004072623617180468,0,0,35.91449325334159,0,0.18218070667596914,0
90,1,0.026117785979249353,0.0035508100357023362,0,0,35.91449325334159,0,0.16344003632447074,0
91,1,0.02094445035171439,0.0035427721828728024,0,0,35.91449325334159,0,0.1631513609132531,0
92,1,0.013055324332272779,0.003841711203236801,0,0,35.91449325334159,0,0.17388760434327646,0
93,1,0.011062359805541065,0.004259607912420683,0,0,35.91449325334159,0,0.18889615288585465,0
94,1,0.016890409881511654,0.004662108026541664,0,0,35.91449325334159,0,0.20335174051892185,0
95,1,0.02787662241436554,0.005141125264090993,0,0,35.91449325334159,0,0.22055540186512154,0
96,1,0.03737694073399153,0.0055215480294042414,0,0,35.91449325334159,0,0.23421809270338176,0
