record_index,accepted,force_error_eV_A,spread_eV_A,accepted_violation,updated_after_record,qhat,qhat_state,bound_eV_A,bound_eV_A_state
121,1,0.05661090194787108,0.010352578445158887,0,0,0.0,2,0.0,2
122,1,0.05868646990386104,0.010750786431996224,0,0,0.0,2,0.0,2
123,1,0.06016147451671858,0.010955412064492697,0,0,0.0,2,0.0,2
124,0,0.0621314390255844,0.01089692148303027,0,1,0.0,2,0.0,2
125,1,0.06528682705237568,0.005196510937428906,0,0,0.0,2,0.0,2
126,1,0.0680498130500412,0.004757588570617696,0,0,0.0,2,0.0,2
127,1,0.06781599385510431,0.004874023161599588,0,0,0.0,2,0.0,2
128,0,0.06216661970980173,0.005108262388193059,0,0,0.0,2,0.0,2
129,1,0.05193179322937285,0.0053593804370262454,0,0,0.0,2,0.0,2
130,1,0.04223115252018788,0.0055073434859603575,0,0,0.0,2,0.0,2
131,1,0.03244929332466775,0.005462924147649217,0,0,0.0,2,0.0,2
132,0,0.02410152440033463,0.005178557309294037,0,0,0.0,2,0.0,2
133,1,0.019105803236362396,0.0046461322683700665,0,0,0.0,2,0.0,2
134,1,0.018458530300683205,0.004234570594886249,0,0,0.0,2,0.0,2
135,1,0.01760618129807314,0.003965022911025869,0,0,0.0,2,0.0,2
136,0,0.01493892243369699,0.0037965863846510764,0,0,0.0,2,0.0,2
137,1,0.00849225164663279,0.0038176643639224886,0,0,0.0,2,0.0,2
138,1,0.011840094750895003,0.004134835750841843,0,0,0.0,2,0.0,2
139,1,0.022054073281870278,0.004637643001205006,0,0,0.0,2,0.0,2
140,0,0.03393780737660759,0.005085815330006881,0,0,0.0,2,0.0,2
141,1,0.04412788741502719,0.005322228570875659,0,0,0.0,2,0.0,2
142,1,0.052236050738987766,0.005308834716181193,0,0,0.0,2,0.0,2
143,1,0.05834114318062039,0.005130962093471958,0,0,0.0,2,0.0,2
144,0,0.06366604299341577,0.004964196851671199,0,0,0.0,2,0.0,2
145,1,0.06936035109408675,0.005001599654851774,0,0,0.0,2,0.0,2
146,1,0.07552601601041237,0.005220923575117043,0,0,0.0,2,0.0,2
147,1,0.08342964895400923,0.005584804285486386,0,0,0.0,2,0.0,2
148,0,0.09011250099150618,0.005925907353510372,0,0,0.0,2,0.0,2
149,1,0.09349044664062915,0.00613360444589204,0,0,0.0,2,0.0,2
150,1,0.0924155675443409,0.0061479282387331795,0,0,0.0,2,0.0,2
151,1,0.08660170161113334,0.0059532591686618334,0,0,0.0,2,0.0,2
152,0,0.07644252760947878,0.005575075079566601,0,0,0.0,2,0.0,2
153,1,0.06314835929830229,0.005085179159527456,0,0,0.0,2,0.0,2
154,1,0.048783076458022254,0.004616531035320192,0,0,0.0,2,0.0,2
155,1,0.03587901222396851,0.004326526891441807,0,0,0.0,2,0.0,2
156,0,0.023057442743529163,0.004302620604140394,0,1,0.0,2,0.0,2
157,1,0.017855526305529223,0.008556688542210547,0,0,0.0,2,0.0,2
158,1,0.021545993589198505,0.008864665857564525,0,0,0.0,2,0.0,2
159,1,0.02016618773564265,0.008844520454893643,0,0,0.0,2,0.0,2
160,0,0.023989241596805478,0.008465511046874723,0,0,0.0,2,0.0,2
161,1,0.03202670092037357,0.007784224632833926,0,0,0.0,2,0.0,2
162,1,0.039444274582202093,0.006929508356092639,0,0,0.0,2,0.0,2
163,1,0.044900069851273795,0.006293971482434054,0,0,0.0,2,0.0,2
164,0,0.04790846185468305,0.005746741252782699,0,0,0.0,2,0.0,2
165,1,0.048482743802953976,0.005288370405861155,0,0,0.0,2,0.0,2
166,1,0.047789350493303774,0.0049540564461409975,0,0,0.0,2,0.0,2
167,1,0.047185019765286995,0.004748790484337626,0,0,0.0,2,0.0,2
168,0,0.0475979433468493,0.004662091962013029,0,0,0.0,2,0.0,2
169,1,0.04932552089108143,0.004686685649860868,0,0,0.0,2,0.0,2
170,1,0.052057094634211154,0.004827738441533838,0,0,0.0,2,0.0,2
171,1,0.056120943426220274,0.005166398350150616,0,0,0.0,2,0.0,2
172,0,0.06108480207650172,0.0058889279037238115,0,0,0.0,2,0.0,2
173,1,0.06113886650998388,0.006770369423120419,0,0,0.0,2,0.0,2
174,1,0.05666740754869839,0.0076633127175012306,0,0,0.0,2,0.0,2
175,1,0.050326267449132836,0.008394691101781733,0,0,0.0,2,0.0,2
176,0,0.04504555055330279,0.008818887881630539,0,0,0.0,2,0.0,2
177,1,0.03957098067650955,0.008859211111358877,0,0,0.0,2,0.0,2
178,1,0.03289638004758048,0.008528052484624005,0,0,0.0,2,0.0,2
179,1,0.024237750478474214,0.007927720065197015,0,0,0.0,2,0.0,2
180,0,0.01288084619546551,0.007228444411928396,0,0,0.0,2,0.0,2
181,1,0.006239284233072076,0.006658088214100233,0,0,0.0,2,0.0,2
182,1,0.020451599516632196,0.006421141982733643,0,0,0.0,2,0.0,2
183,1,0.03802768569966119,0.0062877207223720425,0,0,0.0,2,0.0,2
184,0,0.05312569310974958,0.006261316127687878,0,0,0.0,2,0.0,2
185,1,0.06419701559664574,0.006319302926720851,0,0,0.0,2,0.0,2
186,1,0.07077791317578615,0.006431995322372451,0,0,0.0,2,0.0,2
187,1,0.0731455501111404,0.006580575941624585,0,0,0.0,2,0.0,2
188,0,0.0731394940724444,0.006794151726006998,0,1,0.0,2,0.0,2
189,1,0.06510884809467653,0.00800776450825138,0,0,0.0,2,0.0,2
190,1,0.06480533051968154,0.00790912115194777,0,0,0.0,2,0.0,2
191,1,0.06480328760988888,0.00816929584854895,0,0,0.0,2,0.0,2
192,0,0.06681565231867685,0.008628161488046729,0,0,0.0,2,0.0,2
193,1,0.06883775751221169,0.009059307716258973,0,0,0.0,2,0.0,2
194,1,0.06814978867210596,0.009263268453194843,0,0,0.0,2,0.0,2
195,1,0.06428550743190127,0.009143889507960724,0,0,0.0,2,0.0,2
196,0,0.057401154990102864,0.008741279785431983,0,0,0.0,2,0.0,2
197,1,0.04870710135525661,0.008220723942265563,0,0,0.0,2,0.0,2
