anchor_index,path_index,step,e0_eV_A,kappa_eV_A2,horizon_fs
0,3,0,0.050366633251822376,1.9921660187173063,0.5
1,3,1,0.05436515206786596,2.1013742169556417,0.5
2,3,3,0.06826431817305081,3.013510801931864,0.0
3,3,4,0.07306523843155407,3.013510801931864,0.0
4,3,5,0.07646451492964142,3.013510801931864,0.0
5,3,6,0.07838924475689184,0.8139248464002594,0.5
6,3,7,0.0779951008905043,0.8139248464002594,0.5
7,3,8,0.07398742519037214,1.756896907576985,0.0
8,3,9,0.06582322316289305,3.8530981971439506,0.0
9,3,10,0.06270749711899552,3.8530981971439506,0.0
10,3,11,0.05673027373339424,3.8530981971439506,0.0
11,3,12,0.04173333770984991,3.649167278772686,0.5
12,3,14,0.03493266348839107,2.2442906506203033,1.0
13,3,17,0.04928691938738433,2.2442906506203033,0.5
14,3,19,0.07074439751834041,1.5004918898138564,0.5
15,3,20,0.07714656163523784,3.866570770209256,0.0
16,3,21,0.07704335396140356,3.866570770209256,0.0
17,3,22,0.07274489957343404,3.866570770209256,0.0
18,3,23,0.07210455374255248,2.5468354513246125,0.0
19,3,24,0.07067725071572892,1.3506989510414122,0.5
20,3,25,0.06550196020390012,1.2891393039514043,0.5
21,3,27,0.030625992652498258,3.1656567290128255,0.5
22,3,29,0.028990223541160508,3.1656567290128255,0.5
23,3,31,0.03971611291442391,3.1656567290128255,0.5
24,3,33,0.044217746997296824,1.7014032120901639,1.0
25,3,36,0.02184174370381734,1.715707364435201,1.0
26,3,39,0.07352182888223326,3.031160281294403,0.0
27,3,40,0.07690748265849717,3.031160281294403,0.0
28,3,41,0.07326326128611955,3.031160281294403,0.0
29,3,42,0.0665480585444809,1.2374977864272574,0.5
30,3,44,0.045794318989407445,2.759066312720508,0.5
31,3,46,0.07088473491787212,3.381328348692006,0.0
32,3,47,0.06170146121156026,3.381328348692006,0.0
33,3,48,0.04965545555109646,3.381328348692006,0.5
34,7,0,0.040196905565904745,1.9921660187173063,0.5
35,7,1,0.07317078176329865,4.669138564412482,0.0
36,7,2,0.0955094759854774,4.669138564412482,0.0
37,7,3,0.10594131607473652,4.669138564412482,0.0
38,7,4,0.10619036714010455,2.8248420074350036,0.0
39,7,5,0.09381898348925463,2.2631468677858666,0.0
40,7,6,0.06552560908236427,4.1908742747627565,0.0
41,7,7,0.031773974817233645,4.283811942901469,0.0
42,7,8,0.023912742196086453,4.283811942901469,0.0
43,7,9,0.022313519458770817,4.283811942901469,0.0
44,7,10,0.031698825466120455,2.328311885271264,0.5
45,7,12,0.07759772382423719,2.621658759199243,0.0
46,7,13,0.08068931337318225,2.621658759199243,0.0
47,7,14,0.07634607249435323,2.621658759199243,0.0
48,7,15,0.08254350683136706,1.7330011757823467,0.0
49,7,16,0.07260389313606666,2.2835994041323815,0.0
50,7,17,0.04110123713405553,4.361512435775483,0.0
51,7,18,0.06976534479217299,4.4317010966672665,0.0
52,7,19,0.08884018507821734,4.4317010966672665,0.0
53,7,20,0.08775107217578325,4.4317010966672665,0.0
54,7,21,0.0783047751824688,2.7688220242732844,0.0
55,7,22,0.0743373079506798,1.3429717809618613,0.5
56,7,23,0.0685946468259501,1.3429717809618613,0.5
57,7,24,0.0595562486781457,2.6821373046194186,0.0
58,7,25,0.05805910357925582,4.484317866841218,0.0
59,7,26,0.056213896286679554,4.484317866841218,0.0
60,7,27,0.05300380735266549,4.484317866841218,0.0
61,7,28,0.04998941608773726,3.710160296644667,0.0
62,7,29,0.05638824726775883,3.710160296644667,0.0
63,7,30,0.07225911172073646,3.710160296644667,0.0
64,7,31,0.07718036893788456,3.553123285598033,0.0
65,7,32,0.07822825698292855,2.046410617750991,0.0
66,7,33,0.08166288558304795,0.9546896891768971,0.0
