anchor_index,elapsed_fs,path_length_A,bound_eV_A
0,0.5,0.018823694843629175,0.08786655846600461
0,1.0,0.03700130473149732,0.12407937518611521
1,0.5,0.01817760988786814,0.09256311281211001
1,1.0,0.03484307705259557,0.12758349582558906
2,0.5,0.014765583898402984,0.11276056474771942
3,0.5,0.013257883799554594,0.11301801447226931
4,0.5,0.012843743762452675,0.11516927549503755
5,0.5,0.013676090853020862,0.08952055490379283
5,1.0,0.02890055118256473,0.10191212143904367
6,0.5,0.015194982338092565,0.09036267455609094
6,1.0,0.0318484259871547,0.10391732612018921
7,0.5,0.016610573095536887,0.10317048969500237
8,0.5,0.01727607589323743,0.13238964004084824
9,0.5,0.016782347833560703,0.12737153130033096
10,0.5,0.015029949663921438,0.11464214568661427
11,0.5,0.012411444720901563,0.08702477566765988
11,1.0,0.022596521536704856,0.12419182471567557
12,0.5,0.01018650472313545,0.057794140801023526
12,1.0,0.02273675637842671,0.08596055325392568
12,1.5,0.03816716368815483,0.12059087211441169
13,0.5,0.01761094045750518,0.08881098840479407
13,1.0,0.035987072180282895,0.13005236902479123
14,0.5,0.018025834880336523,0.09779201656340909
14,1.0,0.03469717023630349,0.12280722005740452
15,0.5,0.01667133535596697,0.14160745962297583
16,0.5,0.014992271670492663,0.13501203338156678
17,0.5,0.013641006487730914,0.12548881653512922
18,0.5,0.013293443247672404,0.10596076627589635
19,0.5,0.014124482111028567,0.08975517388709839
19,1.0,0.029685930350654165,0.11077400570104592
20,0.5,0.015561448239625597,0.08556283475600687
20,1.0,0.03250144310563974,0.10740084794652069
21,0.5,0.01764974191068096,0.08649901689738512
21,1.0,0.034890239173853546,0.14107651307007463
22,0.5,0.015498027438034552,0.07805165838679999
22,1.0,0.028309078358941038,0.11860704794029356
23,0.5,0.010327898500447224,0.07241069429892613
23,1.0,0.02023309350666775,0.10376714152255238
24,0.5,0.011890140079795107,0.06444766952126221
24,1.0,0.026325062927097787,0.0890072936199367
24,1.5,0.04252176125384709,0.11656440817832334
25,0.5,0.016720495983227553,0.050529221799250054
25,1.0,0.03282680428424077,0.07816293356516224
25,1.5,0.047643085133354454,0.10358333573152681
26,0.5,0.013412998787534458,0.11417877806005769
27,0.5,0.012737830998852485,0.11551789005205944
28,0.5,0.013284109663252285,0.11352952686972906
29,0.5,0.014839653560707568,0.08491209697720388
29,1.0,0.031540074976643774,0.1055788315118273
30,0.5,0.01821601428667715,0.09605351035981385
30,1.0,0.03718931567367097,0.1484021070577618
31,0.5,0.018425454989076526,0.13318724820998512
32,0.5,0.01668962542534312,0.11813456479132384
33,0.5,0.014221261458205051,0.09774221007388621
33,1.0,0.026369545300077887,0.13881954661636786
34,0.5,0.01839555483254621,0.07684390479875423
34,1.0,0.03501220620557838,0.10994703300898119
35,0.5,0.016548210350719662,0.15043666888385365
36,0.5,0.014088421844034232,0.16129026972916885
39,0.5,0.013648847584485495,0.12470833014896968
40,0.5,0.01673804836480021,0.1356726653841403
41,0.5,0.01938583985781043,0.11481926712329726
42,0.5,0.02082338433501348,0.11311620470204456
43,0.5,0.020940954430230346,0.11202063014274699
44,0.5,0.020192592906473596,0.07871347952470714
44,1.0,0.039698226858384,0.12412867888469084
